label,message
ham,"Hey, are you coming to the party tonight?"
spam,Congratulations! You have won a free lottery. Click here to claim your prize.
ham,Let's meet for lunch at 1 PM.
spam,URGENT! Your account is compromised. Send your password immediately.
ham,Did you complete your assignment?
spam,You have been selected for a free vacation. Call now to claim!
ham,Good morning! Have a great day ahead.
ham,"Hey, can you send me the notes from yesterday's class?"
spam,Win cash instantly! Just reply WIN to this message.
ham,See you at the gym later?
